forumnaam,ID,firmwarerelease,gemiddeld verbruik (bin),batterijtype,batterijvermogen,datum invoer,firmwareversie,forumnaam (copy),leverdatum,nieuwe batterij,opmerkingen,rangemode aan/uit,aantal keer leeg,aantal keer SuC,aantal rangecharges,gemiddeld verbruik,kmstand,kmstand berekening,kmstand bij vervanging batterij,kmstand huidige batterij,kmstand huidige batterij,Number of Records,percentage,rated range,typical range
BasvdPoel,71,1.65.15,220 Wh/km,,85 kWh,1/6/15,V6.0,basvdpoel,5/28/14,nee,"19"" typical range at 90%=346",,2,2,5,226 Wh/km,10000,10000,0,"10,000 km",10000,1,97.80%,,391 km
philhill,31,1.65.15,240 Wh/km,,85 kWh,9/26/14,V6.0,philhill,6/4/14,nee,"20""",,1,1,4,247 Wh/km,6548,6548,0,"6,548 km",6548,1,96.30%,485,385 km
Anco,27,1.65.15,210 Wh/km,,85 kWh,9/26/14,V6.0,anco,6/5/14,nee,"19""",,0,0,5,215 Wh/km,4397,4397,0,"4,397 km",4397,1,98.00%,,392 km
selsrog,26,1.65.15,230 Wh/km,D,85 kWh,9/25/14,V6.0,selsrog,6/20/14,nee,,,0,1,1,235 Wh/km,8598,8598,0,"8,598 km",8598,1,97.00%,486,388 km
selsrog,87,2.2.92,,D,85 kWh,1/19/15,V6.1,selsrog,6/20/14,nee,,uit,2,10,3,,18500,18500,0,"18,500 km",18500,1,95.30%,,381 km
Janc,3,1.65.13,210 Wh/km,,85 kWh,9/18/14,V6.0,janc,6/24/14,,,,,,,215 Wh/km,7100,7100,0,"7,100 km",7100,1,97.80%,,391 km
pvandamcom,10,1.65.15,220 Wh/km,,85 kWh,9/20/14,V6.0,pvandamcom,8/16/14,nee,,,,,7,224 Wh/km,3434,3434,0,"3,434 km",3434,1,98.50%,492,394 km
pvandamcom,56,1.67.80,220 Wh/km,,85 kWh,11/14/14,V6.0,pvandamcom,8/16/14,nee,"Datum invoer even een week teruggezet, voordat ik 3000km trips ging maken",uit,3,8,10,229 Wh/km,8000,8000,0,"8,000 km",8000,1,97.00%,,388 km
ErikR,42,1.65.15,240 Wh/km,D,85 kWh,10/6/14,V6.0,erikr,9/30/14,nee,,uit,0,1,3,244 Wh/km,1136,1136,0,"1,136 km",1136,1,99.80%,,399 km
ErikR,49,1.67.43,240 Wh/km,D,85 kWh,10/30/14,V6.0,erikr,9/30/14,nee,,uit,0,7,4,244 Wh/km,4517,4517,0,"4,517 km",4517,1,98.50%,,394 km
ErikR,58,1.67.43,250 Wh/km,D,85 kWh,11/22/14,V6.0,erikr,9/30/14,nee,,uit,0,7,5,251 Wh/km,7024,7024,0,"7,024 km",7024,1,98.30%,,393 km
ErikR,65,1.67.43,250 Wh/km,D,85 kWh,12/11/14,V6.0,erikr,9/30/14,nee,,uit,0,7,6,258 Wh/km,9732,9732,0,"9,732 km",9732,1,98.30%,,393 km
ErikR,83,1.67.43,260 Wh/km,D,85 kWh,1/17/15,V6.0,erikr,9/30/14,nee,,uit,0,7,7,265 Wh/km,12199,12199,0,"12,199 km",12199,1,98.00%,,392 km
ErikR,91,2.2.113,260 Wh/km,D,85 kWh,1/22/15,V6.1,erikr,9/30/14,nee,,uit,0,9,8,265 Wh/km,13425,13425,0,"13,425 km",13425,1,97.80%,,391 km
Erik-S85,100,2.2.113,240 Wh/km,,85 kWh,2/2/15,V6.1,erik-s85,11/25/14,nee,,uit,0,8,3,245 Wh/km,7330,7330,0,"7,330 km",7330,1,97.80%,,391 km
brderyck,68,2.0.77,260 Wh/km,,85 kWh,12/23/14,V6.0,brderyck,12/13/14,nee,"hoog vebruik komt voornamelijk door het spelen deze 1e week, bij normaal gebruik op 230",uit,0,1,1,261 Wh/km,950,950,0,950 km,950,1,98.50%,490,394 km
HansBe,74,1.67.43,250 Wh/km,,85 kWh,1/15/15,V6.0,hansbe,12/13/14,nee,"19""",uit,0,0,1,253 Wh/km,2650,2650,0,"2,650 km",2650,1,98.30%,,393 km
brderyck,72,2.0.88,260 Wh/km,,85 kWh,1/15/15,V6.0,brderyck,12/13/14,nee,,uit,1,7,4,261 Wh/km,3600,3600,0,"3,600 km",3600,1,98.50%,490,394 km
Thor,84,2.0.77,240 Wh/km,E,85 kWh,1/18/15,V6.0,thor,12/17/14,nee,"19"" obv 90%=356",aan,0,5,2,244 Wh/km,4178,4178,0,"4,178 km",4178,1,99.50%,497,398 km
Thor,99,2.2.115,250 Wh/km,E,85 kWh,1/31/15,V6.1,thor,12/17/14,nee,"19""",uit,0,10,2,250 Wh/km,5500,5500,0,"5,500 km",5500,1,98.80%,,395 km
Dimivdb,73,2.0.77,270 Wh/km,,85 kWh,1/15/15,V6.0,dimivdb,12/30/14,nee,21 inch,aan,0,3,1,278 Wh/km,980,980,0,980 km,980,1,98.50%,,394 km
pvh,88,2.2.92,240 Wh/km,,85 kWh,1/20/15,V6.1,pvh,1/19/15,nee,"drive unit replaced 8500km, 21"" P+",uit,2,20,15,248 Wh/km,23056,23056,0,"23,056 km",23056,1,96.00%,480,384 km
